seed,corridor_radius,deflection,success_rate,death_rate,temporal_jitter,mean_arrival,first_death_step
3,17,0.2,0.7714285714285715,0.22857142857142856,0.028208505200940388,375.462962962963,109.0
4,17,0.2,0.7428571428571429,0.2571428571428571,0.025607960732243407,378.11538461538464,46.0
5,17,0.2,0.7285714285714285,0.2714285714285714,0.04392356889430978,387.8627450980392,110.0
6,17,0.2,0.7857142857142857,0.21428571428571427,0.022738063619739964,374.8727272727273,119.0
7,17,0.2,0.7142857142857143,0.2857142857142857,0.027612906688656447,381.26,45.0
8,17,0.2,0.7285714285714285,0.2714285714285714,0.05358838991368866,391.4901960784314,119.0
9,17,0.2,0.7428571428571429,0.2571428571428571,0.03932721204146272,396.5192307692308,108.0
10,17,0.2,0.8142857142857143,0.18571428571428572,0.025618042804465842,377.5438596491228,47.0
11,17,0.2,0.7714285714285715,0.22857142857142856,0.041293877345736266,381.14814814814815,121.0
12,17,0.2,0.7,0.3,0.03656397808771218,382.57142857142856,109.0
13,17,0.2,0.8285714285714286,0.17142857142857143,0.0293573298263012,380.6896551724138,47.0
14,17,0.2,0.8285714285714286,0.17142857142857143,0.021409261051179695,380.08620689655174,121.0
15,17,0.2,0.7714285714285715,0.22857142857142856,0.029270861492396768,379.44444444444446,120.0
16,17,0.2,0.7857142857142857,0.21428571428571427,0.03433810994397042,378.03636363636366,118.0
17,17,0.2,0.7,0.3,0.06698921452847682,401.9591836734694,119.0
18,17,0.2,0.7857142857142857,0.21428571428571427,0.03130911378910587,390.4,45.0
19,17,0.2,0.8285714285714286,0.17142857142857143,0.02165549627022237,377.51724137931035,119.0
0,17,0.3,0.8285714285714286,0.17142857142857143,0.068686661237836,401.8103448275862,113.0
1,17,0.3,0.7428571428571429,0.2571428571428571,0.07402956205947835,397.36538461538464,110.0
2,17,0.3,0.7857142857142857,0.21428571428571427,0.05753156785038134,403.1818181818182,120.0
3,17,0.3,0.7714285714285715,0.22857142857142856,0.05392553853746627,388.2037037037037,109.0
4,17,0.3,0.7714285714285715,0.22857142857142856,0.04172510492615553,388.22222222222223,46.0
5,17,0.3,0.7714285714285715,0.22857142857142856,0.10152807218146358,424.2037037037037,110.0
6,17,0.3,0.7857142857142857,0.21428571428571427,0.04206175584631679,396.8181818181818,119.0
7,17,0.3,0.7714285714285715,0.22857142857142856,0.05295801903154915,400.81481481481484,45.0
8,17,0.3,0.8571428571428571,0.14285714285714285,0.08573950317279927,411.93333333333334,119.0
9,17,0.3,0.7714285714285715,0.22857142857142856,0.04673160147788244,397.77777777777777,108.0
10,17,0.3,0.7571428571428571,0.24285714285714285,0.055919069400498476,396.8867924528302,47.0
11,17,0.3,0.8714285714285714,0.12857142857142856,0.028515754619104088,380.78688524590166,121.0
12,17,0.3,0.8285714285714286,0.17142857142857143,0.03750446481701636,386.0689655172414,109.0
13,17,0.3,0.7428571428571429,0.2571428571428571,0.0387122876596551,394.4807692307692,47.0
14,17,0.3,0.7714285714285715,0.22857142857142856,0.04255836670518837,383.77777777777777,121.0
15,17,0.3,0.7714285714285715,0.22857142857142856,0.0320992370474454,380.5,120.0
16,17,0.3,0.8142857142857143,0.18571428571428572,0.04366985899854482,386.89473684210526,118.0
17,17,0.3,0.8285714285714286,0.17142857142857143,0.042401323368374495,390.7068965517241,119.0
18,17,0.3,0.8571428571428571,0.14285714285714285,0.03669067212395835,388.3,45.0
19,17,0.3,0.8,0.2,0.058668356960610187,398.51785714285717,119.0
0,17,0.4,0.8142857142857143,0.18571428571428572,0.040944418926468204,390.7543859649123,113.0
1,17,0.4,0.8,0.2,0.048159384307202846,387.0357142857143,110.0
2,17,0.4,0.8142857142857143,0.18571428571428572,0.07426901955570692,391.36842105263156,120.0
3,17,0.4,0.6714285714285714,0.32857142857142857,0.0857330517518878,415.29787234042556,109.0
4,17,0.4,0.7714285714285715,0.22857142857142856,0.04205467972442615,390.31481481481484,46.0
5,17,0.4,0.8428571428571429,0.15714285714285714,0.0949025856838607,418.77966101694915,110.0
6,17,0.4,0.8142857142857143,0.18571428571428572,0.0962900800144916,436.280701754386,119.0
7,17,0.4,0.7857142857142857,0.21428571428571427,0.06720935342106056,408.3454545454546,45.0
